order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD136980,ID4312130284,2019-01-21,Bakers,"[('Lucent 330S', 1), ('Alcon 10', 1), ('pearTV', 2), ('Toshika 750', 1)]",27120.0,76.85,-37.8199256,144.99215690000003,0,27196.85,Summer,False,1.1379,recommend great phone for the price highly recommend buy.,True
ORD192951,ID4353912833,2019-03-19,Bakers,"[('pearTV', 2), ('Lucent 330S', 1), ('Alcon 10', 1)]",22800.0,85.35,-37.8244037,145.0129522,0,22885.35,Autumn,True,2.2362,"my 90 year old mom loves that she can watch the 1st season of blue bloods ❤. my one wish is that she could watch csi:miami...without having to pay for it...😥 the bill for optimum is already, quite high. can you help us? we live on long island, ny (suffolk county )",True
ORD373330,ID1964021902,2019-09-13,Nickolson,"[('Olivia x460', 2), ('pearTV', 2), ('Lucent 330S', 1)]",16300.0,72.65,-37.817966299999995,144.9661046,10,14742.65,Spring,True,0.311,good price glass break to easy,True
ORD314505,ID0207093531,2019-02-21,Bakers,"[('iStream', 1), ('iAssist Line', 1), ('Universe Note', 2)]",9275.0,98.65,-37.8001821,145.0032238,15,7982.4,Summer,True,1.2991,five stars the best android phone now.,True
ORD330208,ID0711778924,2019-10-24,Thompson,"[('iAssist Line', 2), ('iStream', 1)]",4600.0,73.02,-37.8150557,144.9451777,5,4443.02,Spring,False,0.313,good excelent,True
ORD253131,ID0667680173,2019-03-05,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('Olivia x460', 2)]",7200.0,64.17,-37.8137954,144.9718227,10,6544.17,Autumn,False,0.5704,"beautiful bamboo back beautiful bamboo back, decent battery life, a bit on the larger side compared to lucent x 2013, great android experience that is close to vanilla.",True
ORD106876,ID0589408684,2019-10-27,Thompson,"[('Thunder line', 2), ('Lucent 330S', 2), ('Universe Note', 1), ('iAssist Line', 1)]",12495.0,89.01,-37.80723629999999,144.9591141,25,9460.26,Spring,True,1.4295,una muy mala imitación. no es el original y me molesta que me hagan perder tiempo,False
ORD123247,ID0560989611,2019-12-09,Thompson,"[('Alcon 10', 1), ('pearTV', 1), ('Toshika 750', 2), ('Universe Note', 1)]",27350.0,76.01,-37.821034600000004,144.9474081,10,24691.01,Summer,False,0.7629,good. packaged well. came promptly. works as advertised.,True
ORD218137,ID2948774583,2019-04-12,Nickolson,"[('iStream', 1), ('Olivia x460', 2)]",2600.0,66.48,-37.8080995,144.97115630000005,5,2536.48,Autumn,False,0.9732,None,False
ORD364415,ID0054552187,2019-10-25,Bakers,"[('Olivia x460', 2), ('Universe Note', 2), ('iStream', 1)]",9500.0,91.61,-37.8197522,144.98503190000002,10,8641.61,Spring,True,1.3674,don't buy it it breaks every other day and i have to constantly root it to make it work again. it freezes 4-5 times a day. this was the worst purchase ever.,False
ORD064857,ID0581755097,2019-02-18,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('Alcon 10', 1)]",18020.0,91.63,-37.803968499999996,144.9175835,10,16309.63,Summer,True,3.3767,five stars love the phone; can't beat it.,True
ORD464327,ID3983269222,2019-06-14,Bakers,"[('Lucent 330S', 2), ('Toshika 750', 2), ('iAssist Line', 1)]",13325.0,80.25,-37.8209945,144.98804980000003,0,13405.25,Winter,True,1.3776,great phone great all around phone. love it. had it for a few months now.,True
ORD158024,ID0373649887,2019-01-19,Thompson,"[('iStream', 2), ('Thunder line', 2), ('Candle Inferno', 1), ('iAssist Line', 2)]",9540.0,85.55,-37.8089572,144.9286705,5,9148.55,Summer,True,2.0759,"basic phone very basic no frills phone. it's an okay phone if you just want to make calls. functions not intuitive, takes greeting used to.",False
ORD093640,ID0581784564,2019-05-05,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 2), ('Alcon 10', 1)]",12260.0,64.91,-37.8070674,144.9376258,15,10485.91,Autumn,True,1.0388,"sd card stopped working very good phone. very fast and good battery, however the 64gb sd that came with it recently stopped working. almost lost all my data.",True
ORD340467,ID3281123501,2019-04-29,Thompson,"[('Universe Note', 1), ('Olivia x460', 2), ('Thunder line', 1)]",8080.0,65.25,-37.80473189999999,144.9576634,0,8145.25,Autumn,True,1.2844,box only! the cellphone was not found!,False
