order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD297673,ID0844410211,2019-03-27,Thompson,"[('iStream', 1), ('Universe Note', 1), ('Olivia x460', 1)]",4825.0,63.62,-37.8190391,144.9467214,0,4888.62,Autumn,True,0.7093,old design bad service but then again it's t-mobile t-mobile service very bad!,0.0
ORD261934,ID3285623008,2019-02-14,Thompson,"[('iStream', 2), ('Toshika 750', 1), ('Candle Inferno', 1)]",5050.0,98.13,-37.81418710000001,144.93404099999995,25,3885.63,Summer,True,1.158,five stars in great condition. works properly and having fun with it already.,1.0
ORD159175,ID6195295693,2019-04-10,Bakers,"[('iAssist Line', 2), ('Olivia x460', 1), ('Universe Note', 1), ('Candle Inferno', 2)]",9985.0,71.36,-37.824472,145.0102213,10,9057.86,Autumn,False,2.0818,five stars the phone was in very good condition.,1.0
ORD097982,ID6167344545,2019-04-02,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 2), ('pearTV', 2), ('Olivia x460', 1)]",19755.0,63.93,-37.812096000000004,144.97043069999995,10,17843.43,Autumn,True,0.7276,not working after 2 months stopped working after 2 months.,0.0
ORD365713,ID0310727772,2019-01-14,Thompson,"[('iStream', 2), ('Toshika 750', 2), ('pearTV', 1), ('Lucent 330S', 2)]",17710.0,60.83,-37.8100335,144.93596000000005,10,15999.83,Summer,False,1.0202,"avoid this phone, save your money after a few months, this phone is having some severe issues. it randomly reboots and screen flashs for no reason.",0.0
ORD191379,ID4326586200,2019-02-18,Nickolson,"[('iStream', 1), ('Universe Note', 2), ('iAssist Line', 1)]",9275.0,80.35,-37.8122295,144.962224,15,7964.1,Summer,True,0.9577,not unlocked at all not unlocked. do not buy,0.0
ORD003388,ID0650269226,2019-03-19,Nickolson,"[('iStream', 1), ('Lucent 330S', 1)]",1380.0,64.57,-37.814477600000004,144.9788447,10,1306.57,Autumn,False,0.937,one probleme it needs to be reprogramed and it seems to work better cuz it first dint even stay one for long turned on and off every minute.,1.0
ORD301587,ID0746921973,2019-08-26,Nickolson,"[('iAssist Line', 1), ('pearTV', 2), ('Universe Note', 1)]",18295.0,68.94,-37.824085,144.9850699,15,15619.69,Winter,False,1.4952,five stars works great! its the real deal and seems never used even if it says it is.,1.0
ORD212436,ID0122756701,2019-02-27,Thompson,"[('Lucent 330S', 2), ('Thunder line', 1)]",4640.0,70.22,-37.814753,144.94183940000005,0,4710.22,Summer,False,0.5149,good phone. love this phone. exactly what i wanted. no problems and came quickly. my son bought one but it didn't work. sent it back had got one from the cellular company we use. s8 was available but this one had all the features we wanted.,1.0
ORD254102,ID0612741118,2019-09-20,Nickolson,"[('pearTV', 1), ('Olivia x460', 2), ('Candle Inferno', 1), ('Toshika 750', 1)]",13510.0,100.85,-37.815276000000004,144.96175390000005,0,13610.85,Spring,True,0.7789,five stars best phone i owned..very happy with this one,1.0
