order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD414465,ID0277366890,2019-09-13,Bakers,"[('Lucent 330S', 1), ('pearTV', 2), ('Thunder line', 1)]",16030,68.76,-37.8030083,145.0089613,15,13694.26,Spring,False,1.4364,"a blacklisted phone labeled as ""new"" put the sim card in and got a nice ""no service"" message nothing better than buying a refurbished phone advertised as ""new"". then it doesn't even work when you receive it.",False
ORD021936,ID0703556744,2019-07-09,Thompson,"[('Toshika 750', 1), ('iAssist Line', 1)]",6545,65.95,-37.8065073,144.9579553,5,6283.7,Winter,False,1.178,cant be used with just any carrier bought to use with straight talk service. however couldn't receive picture text or mms. the phone i received was not factory unlocked. it was an at&t phone. i ended up swapping service to at&t. i like it ok but miss straight talk,True
ORD449575,ID0598347140,2019-07-20,Nickolson,"[('iStream', 1), ('Candle Inferno', 1), ('Lucent 330S', 1)]",1810,65.14,-37.8139544,144.96358869999997,10,1694.14,Winter,False,0.736,works fine works fine,True
ORD234855,ID0767729202,2019-12-06,Thompson,"[('Alcon 10', 2), ('Thunder line', 1), ('Lucent 330S', 2), ('pearTV', 1)]",28850,72.94,-37.8075969,144.943248,5,27480.44,Summer,False,0.6574,low memory good phone for the money.,True
ORD320875,ID1463620982,2019-04-30,Bakers,"[('Alcon 10', 1), ('iAssist Line', 2), ('pearTV', 1)]",19710,81.13,-37.81622279999999,145.0074469,15,16834.63,Autumn,True,1.2784,love it great phone. my second s8 active. these hold up wonderfully and can really take a licking! came in perfect condition.,True
ORD140368,ID0224763532,2019-01-18,Bakers,"[('Candle Inferno', 1), ('pearTV', 1), ('Toshika 750', 2)]",15380,85.38,-37.8099266,144.9945944,0,15465.38,Summer,True,0.0566,great device ! i had no idea that you could actually talk to people with this thing … i thought it was just a camera !,True
ORD288655,ID4418536070,2019-12-26,Thompson,"[('Toshika 750', 2), ('Thunder line', 1)]",10820,68.02,-37.8022591,144.9633489,25,8183.02,Summer,False,1.8423,"really disappointed, this product came in quick, but is not usable. i spent over a week trying to get the phone activated on my verizon account only to find out that it’s attached to a business account and cannot be used on another account without the real owner releasing. really disappointed,",False
ORD200471,ID3098154908,2019-03-23,Thompson,"[('Universe Note', 2), ('Olivia x460', 2), ('Alcon 10', 1)]",18300,67.65,-37.822999700000004,144.93749440000005,15,15622.65,Autumn,False,1.4249,really good phone. battery seems running out quire fast nowadays using this xp 925 for last 20 months. really good phone. battery seems running out quire fast nowadays. i recommend this,True
ORD318163,ID3994641806,2019-02-15,Bakers,"[('pearTV', 2), ('Universe Note', 1)]",16070,97.1,-37.7996025,144.99537890000005,25,12149.6,Summer,True,1.1571,good good phone,True
ORD294195,ID6167191184,2019-01-13,Thompson,"[('Alcon 10', 1), ('pearTV', 2), ('iStream', 2), ('iAssist Line', 2)]",26320,79.53,-37.818975,144.95409119999997,25,19819.53,Summer,True,0.9346,has a crack on the back camera and takes really blur photos i got the phone on time but my problem is the back camera area is chipped and even has a crack on it hence my photos are blurred.really disappointed,False
ORD137808,ID0723959412,2019-04-15,Bakers,"[('iStream', 2), ('Thunder line', 1), ('pearTV', 1)]",8790,65.89,-37.802522700000004,145.0050195,25,6658.39,Autumn,True,1.1971,"necesito el reembolso de mi dinero malísimo aspecto, cargador no original y no viene con ningún accesorio, aparte ya han pasado dos semanas y no me han reembolsado el dinero",False
ORD208807,ID4716795152,2019-08-10,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 2), ('Olivia x460', 1), ('iAssist Line', 2)]",17085,62.33,-37.81858,144.9533978,5,16293.08,Winter,True,0.8615,not unlocked as advertised although this phone was advertised as unlocked it was actually locked due to incomplete payment for the phone (according to at&t's website when i entered the phone's imei). i will be sending it back for a refund.,False
ORD157795,ID0446051190,2019-06-10,Thompson,"[('Thunder line', 2), ('Universe Note', 1)]",7810,52.75,-37.8022099,144.9605892,25,5910.25,Winter,False,1.6645,"died after a month. what can i say died after a month... was nice looking but stopped working , bought cheaper phone. since i still had min.",False
ORD460001,ID0131103060,2019-11-22,Thompson,"[('Lucent 330S', 1), ('Toshika 750', 2), ('Alcon 10', 2)]",27770,62.74,-37.8151696,144.95809409999995,25,20890.24,Spring,False,1.0086,already freezing after one month this phone has to be the absolutely worst phone i've ever purchased from toshika. i suspect it was used and unfortunately it started freezing after the return date was reached. i am going to see what i can do about exchanging this for a different phone. extremely disappointed!!,False
ORD242122,ID0581790321,2019-06-10,Thompson,"[('Alcon 10', 2), ('iAssist Line', 2), ('Universe Note', 1), ('pearTV', 2)]",38420,84.44,-37.8044722,144.92560830000005,0,38504.44,Winter,True,2.0966,"perfect for kids, adults and everyone in between!!",True
ORD089018,ID3390561255,2019-07-31,Bakers,"[('pearTV', 1), ('Toshika 750', 2)]",14950,68.46,-37.800430799999994,145.0095141,25,11280.96,Winter,False,1.6467,super fast this phone surprised me. it is excellent. i recommend the seller too. super fast.,True
ORD011898,ID0664378473,2019-08-19,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 2)]",2085,61.96,-37.8200177,144.9670299,10,1938.46,Winter,False,0.2724,"five stars yes ,it came on time and was very useful",True
ORD206584,ID0746912869,2019-04-09,Nickolson,"[('Lucent 330S', 1), ('Olivia x460', 1)]",2455,68.39,-37.825648,144.9846995,10,2277.89,Autumn,False,1.5462,five stars great phone... love it,True
ORD426363,ID2776396935,2019-07-17,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 1), ('Olivia x460', 1)]",12400,77.93,-37.8129664,144.9634303,5,11857.93,Winter,True,0.826,"great product ! it checks all of the boxes, plus some. if you want a powerful, long-lasting phone at a reasonable price, then this is the one for you. it is highly recommended. it was delivered promptly and in good condition.",True
ORD239943,ID0591317304,2019-01-30,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2)]",9500,97.11,-37.8250195,144.95703269999996,15,8172.11,Summer,True,1.3127,"great device, responsive and helpful",True
ORD315680,ID5221319826,2019-05-07,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 2), ('Universe Note', 2), ('Olivia x460', 1)]",27255,64.72,-37.8183457,144.97607390000005,15,23231.47,Autumn,False,0.5743,"great phone this is the best android phone i’ve ever owned,",True
ORD034046,ID0372998488,2019-11-10,Bakers,"[('Thunder line', 2), ('Alcon 10', 1)]",13310,101.55,-37.8090958,144.986353,0,13411.55,Spring,True,0.7873,perfect upgrade i recieved mine yesterday and played with it all day and today. i live this phone. i've had miles b4 and this is top quality. i live the camera on this phone too.,True
ORD086271,ID0131221852,2019-07-02,Nickolson,"[('Alcon 10', 1), ('Universe Note', 2), ('Thunder line', 1)]",18030,79.43,-37.8129452,144.9611396,10,16306.43,Winter,True,0.9709,"good phone battery life is abit down but outlook is okay no scratches, inside works fine",True
ORD057810,ID2755217883,2019-10-08,Bakers,"[('Candle Inferno', 2), ('Lucent 330S', 1), ('pearTV', 1), ('Toshika 750', 1)]",12720,74.54,-37.804437899999996,144.9935677,15,10886.54,Spring,False,0.6358,4 out of 5 not a bad phone. enjoyed my optimus 2 a little more to be honest but the phone is nice. con's are the battery life is pretty bad if you play any games or surf the web. usually dies shortly after 8 hour work day.,True
ORD417338,ID3146808085,2019-12-13,Bakers,"[('Alcon 10', 2), ('Thunder line', 2)]",22260,74.92,-37.8122898,144.9903617,15,18995.92,Summer,True,0.4986,not recomended not recomended!! í ordered dual sim phone and received single sim,False
ORD024301,ID0137181160,2019-11-14,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Olivia x460', 2), ('Universe Note', 1)]",12810,82.4,-37.8046783,144.9646984,25,9689.9,Spring,False,1.6069,very satisfied better than what i expected works perfect.,True
ORD067103,ID4740822043,2019-01-18,Thompson,"[('Universe Note', 1), ('Toshika 750', 1), ('Thunder line', 2)]",12130,61.29,-37.803268700000004,144.95010390000004,0,12191.29,Summer,False,1.0804,malo pésimo. la batería estába dañada y rendía más de 5hs en reposo,False
ORD170456,ID0248746947,2019-04-20,Bakers,"[('Universe Note', 1), ('Thunder line', 1), ('Lucent 330S', 1), ('Toshika 750', 1)]",11180,80.33,-37.8224033,144.99051469999995,25,8465.33,Autumn,True,1.4421,four stars very nice product......,True
ORD332243,ID1883787542,2019-02-17,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 1)]",18330,79.12,-37.8252643,144.9477532,10,16576.12,Summer,False,1.4029,good perfect for me,True
ORD063148,ID5668043852,2019-10-06,Bakers,"[('iAssist Line', 2), ('pearTV', 2), ('Lucent 330S', 2)]",19530,110.81,-37.8024092,145.0158325,25,14758.31,Spring,True,1.999,five stars wonderful,True
ORD045873,ID6167289285,2019-08-28,Nickolson,"[('Lucent 330S', 1), ('iStream', 1)]",1380,66.74,-37.81044179999999,144.9614008,25,1101.74,Winter,False,1.1565,versatile and fun !!!,True
ORD250137,ID0259159284,2019-04-24,Bakers,"[('Alcon 10', 2), ('Lucent 330S', 1), ('Candle Inferno', 2)]",19990,84.33,-37.825523600000004,144.9886093,5,19074.83,Autumn,True,1.824,five stars love it does everything i wanted and more,True
ORD486211,ID0814816061,2019-12-01,Nickolson,"[('Lucent 330S', 2), ('iStream', 1), ('Universe Note', 1)]",6060,71.42,-37.8153678,144.975339,25,4616.42,Summer,False,0.623,nice tablet for media consumption for the price. for digico user for sure,True
ORD062803,ID4735688721,2019-11-16,Thompson,"[('Lucent 330S', 1), ('pearTV', 2)]",13850,102.52,-37.803922299999996,144.94932980000004,5,13260.02,Spring,True,0.9942,"great! great phone, great quality for pre-owned!",True
ORD352086,ID0214146633,2019-03-15,Nickolson,"[('Toshika 750', 2), ('Lucent 330S', 1)]",9870,66.22,-37.8056421,144.97124069999995,10,8949.22,Autumn,True,1.4495,buyer beware phone didn’t work and never heard back from seller,False
ORD027077,ID0529205569,2019-01-10,Thompson,"[('Thunder line', 2), ('Candle Inferno', 2), ('pearTV', 1), ('Lucent 330S', 2)]",13990,99.63,-37.8235601,144.9356707,0,14089.63,Summer,True,1.5727,"i even like the color. dreary pinkish, purpley grey. yum note 8 unlocked by olivia is the way to go. i will never take a bite of pear again...",True
ORD112579,ID4283908184,2019-08-06,Bakers,"[('Alcon 10', 1), ('iAssist Line', 1), ('Candle Inferno', 1), ('Lucent 330S', 1)]",12835,78.77,-37.811452,145.0098405,10,11630.27,Winter,True,1.2949,"battery life a 10th of new units lots of unnecessary apps and the battery life is minimal. have the same model as a work phone with a standby time of 6 days, the one i bought dies in 8 hours. all apps do work correctly and visually looks and feels like new.",True
ORD019000,ID0767733193,2019-02-09,Nickolson,"[('Lucent 330S', 1), ('iStream', 1), ('Toshika 750', 1)]",5700,81.02,-37.804227399999995,144.9716977,5,5496.02,Summer,False,1.6105,five star rating for alcon phone looks brand new and work great!,True
ORD007701,ID3994640121,2019-04-09,Bakers,"[('Thunder line', 1), ('iStream', 2), ('Universe Note', 1), ('Olivia x460', 2)]",8380,68.62,-37.8000294,144.9999439,0,8448.62,Autumn,False,1.1843,"five stars nice phone, nothing fancy",True
ORD451005,ID4716795996,2019-07-21,Thompson,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Alcon 10', 2), ('iStream', 1)]",24960,78.72,-37.8190856,144.95284569999995,0,25038.72,Winter,True,0.8761,good refurb like new this phone works verywell and appears brand new.,True
ORD180691,ID0767594381,2019-10-31,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Toshika 750', 1), ('Olivia x460', 2)]",13680,81.41,-37.8071068,144.9709672,15,11709.41,Spring,False,1.2849,good life that's good product for me.,True
ORD114857,ID3148722378,2019-09-13,Nickolson,"[('Toshika 750', 1), ('Olivia x460', 1)]",5545,79.86,-37.82104870000001,144.9579365,15,4793.11,Spring,False,1.0572,"secondary smartphone i bought it as a secondary smartphone (my main one is alcon se). it is the same size as alcon 7 plus but its display is bigger in size! it is handy and useful for browsing. micro sd cards, battery duration and camera quality (with no flash) are also good for me.",True
ORD088644,ID3114181727,2019-08-14,Nickolson,"[('Lucent 330S', 1), ('iStream', 2), ('Thunder line', 2), ('Alcon 10', 1)]",14840,64.82,-37.810799100000004,144.96369330000005,0,14904.82,Winter,False,1.0092,its fine i liked my honor x8 better.,True
ORD229912,ID2346846624,2019-02-12,Bakers,"[('Toshika 750', 1), ('iStream', 1)]",4470,77.38,-37.809441,144.98139530000003,5,4323.88,Summer,False,1.2185,great easy to use phone so far one of the best phones i ever had. the camera is as good as advertised. it is fast and doesn't lag. nice android experience with an easy to use interface. i like the size as well. just right. the screen is really beautiful and responsive.,True
ORD259243,ID5167159986,2019-11-22,Bakers,"[('Thunder line', 2), ('Lucent 330S', 1), ('Candle Inferno', 2), ('Olivia x460', 2)]",8900,102.57,-37.8113612,145.0050992,15,7667.57,Spring,True,0.8809999999999999,good and fast service the phone was new and it works perfect nice phone and it works good will say i'm really happy whit this phone,True
